Customer ID,segment,priority,recommended_action,insight
329,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
330,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
331,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
332,Infrequent Premium,Priority 1,Re-engagement campaigns,"Customer has a score of 3.50, placing them in Priority 1, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
333,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
334,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
335,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
336,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
337,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
338,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.80, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
339,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
340,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
341,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.00, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
342,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
343,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.00, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
344,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
345,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
346,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.10, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
347,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
348,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
349,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
350,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
351,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
352,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
353,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
354,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
355,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
356,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
357,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
358,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
359,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.30, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
360,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
361,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
362,Infrequent Premium,Priority 1,Re-engagement campaigns,"Customer has a score of 3.50, placing them in Priority 1, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
363,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
364,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.70, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
365,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
366,Infrequent Premium,Priority 2,Re-engagement campaigns,"Customer has a score of 3.10, placing them in Priority 2, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
367,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
368,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
369,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
370,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
371,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
372,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
373,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
374,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
375,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
376,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
377,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
378,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
379,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
380,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.90, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
381,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
382,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.30, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
383,Infrequent Premium,Priority 2,Re-engagement campaigns,"Customer has a score of 3.10, placing them in Priority 2, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
384,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
385,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
386,Frequent Low Value,Priority 2,Encourage bundle purchases or upsell,"Customer has a score of 3.20, placing them in Priority 2, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
387,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
388,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 4.10, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
389,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
390,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
391,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
392,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
393,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
394,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
395,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
396,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
397,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
398,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
399,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
400,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
401,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
402,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
403,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
404,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
405,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.90, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
406,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
407,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.10, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
408,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
409,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
410,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.40, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
411,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
412,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
413,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
414,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.80, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
415,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
416,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
417,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
418,Infrequent Premium,Priority 2,Re-engagement campaigns,"Customer has a score of 3.10, placing them in Priority 2, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
419,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
420,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
421,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
422,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
423,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.10, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
424,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
425,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
426,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
427,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
428,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
429,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
430,Regular Customer,Priority 1,General Marketing,"Customer has a score of 3.50, placing them in Priority 1, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
431,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
432,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
433,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
434,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
435,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.40, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
436,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.30, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
437,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
438,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.10, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
439,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
440,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.40, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
441,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
442,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
443,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
444,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
445,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
446,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
447,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
448,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
449,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
450,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.00, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
451,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.30, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
452,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
453,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
454,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
455,Regular Customer,Priority 1,General Marketing,"Customer has a score of 3.50, placing them in Priority 1, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
456,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 4.10, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
457,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.20, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
458,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.80, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
459,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
460,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
461,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
462,Regular Customer,Priority 1,General Marketing,"Customer has a score of 3.50, placing them in Priority 1, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
463,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
464,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
465,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
466,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
467,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
468,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.40, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
469,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
470,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
471,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
472,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
473,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
474,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
475,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
476,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
477,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
478,Loyal Customer,Priority 3,Retention campaigns,"Customer has a score of 3.00, placing them in Priority 3, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
479,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
480,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
481,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
482,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
483,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
484,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
485,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
486,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
487,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
