Customer ID,final_score,segment,priority,recommended_action,insight
552,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
553,3.5,Regular Customer,Priority 1,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
554,1.8000000000000003,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
555,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
556,2.1,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
557,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
558,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
559,3.4000000000000004,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
560,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
561,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
562,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
563,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
564,2.9,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
565,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
566,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
567,3.1999999999999997,Frequent Low Value,Priority 2,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
568,2.4,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
569,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
570,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
571,2.9,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
572,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
573,3.1999999999999997,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
574,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
575,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
576,3.4000000000000004,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
577,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
578,2.1,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
579,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
580,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
581,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
582,2.9,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
583,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
584,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
585,3.2,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
586,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
587,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
588,3.4000000000000004,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
589,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
590,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
591,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
592,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
593,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
594,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
595,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
596,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
597,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
598,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
599,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
600,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
601,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
602,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
603,2.1,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
604,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
605,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
606,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
607,3.4000000000000004,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
608,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
609,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
610,3.0,Loyal Customer,Priority 3,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
611,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
612,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
613,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
614,3.0,Loyal Customer,Priority 3,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
615,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
616,3.1999999999999997,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
617,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
618,1.8000000000000003,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
619,3.5,Regular Customer,Priority 1,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
620,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
621,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
622,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
623,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
624,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
625,2.5,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
626,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
627,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
628,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
629,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
630,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
631,3.1999999999999997,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
632,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
633,2.4,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
634,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
635,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
636,2.1,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
637,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
638,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
639,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
640,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
641,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
642,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
643,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
644,2.1,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
645,4.1,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
646,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
647,2.4,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
648,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
649,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
650,3.5,Regular Customer,Priority 1,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
651,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
652,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
653,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
654,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
655,2.1,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
656,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
657,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
658,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
659,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
660,2.4,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
661,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
662,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
663,4.1,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
664,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
665,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
666,2.4000000000000004,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
667,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
668,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
669,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
670,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
671,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
672,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
673,2.1,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
674,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
675,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
676,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
677,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
678,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
679,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
680,4.1,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
681,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
682,2.4000000000000004,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
683,1.9,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
684,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
685,3.4000000000000004,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
686,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
687,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
688,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
689,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
690,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
691,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
692,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
693,3.8,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
694,2.4000000000000004,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
695,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
696,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
697,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
698,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
699,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
700,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
701,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
702,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
703,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
704,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
705,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
706,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
707,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
708,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
709,2.4,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
710,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
711,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
712,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
713,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
714,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
715,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
716,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
717,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
718,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
719,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
720,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
721,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
722,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
723,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
724,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
725,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
726,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
727,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
728,3.8,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
729,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
730,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
731,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
732,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
733,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
734,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
735,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
736,2.5999999999999996,Loyal Customer,Priority 3,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
737,2.4000000000000004,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
738,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
739,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
740,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
741,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
742,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
743,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
744,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
745,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
746,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
747,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
748,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
749,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
750,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
751,2.5999999999999996,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
752,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
753,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
754,2.1,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
755,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
756,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
757,3.8,Loyal Customer,Priority 1,High-priority retention,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
758,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
759,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
760,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
761,1.8000000000000003,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
762,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
763,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
764,2.1,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
765,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
766,2.9,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
767,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
768,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
769,4.1,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
770,2.9,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
771,1.8000000000000003,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
772,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
773,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
774,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
775,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
776,2.1,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
777,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
778,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
779,1.8000000000000003,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
780,3.5,Infrequent Premium,Priority 1,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
781,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
782,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
783,2.4,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
784,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
785,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
786,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
787,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
788,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
